year,lizard,order,frequency,rep,date,time,time.class,lat,long,ground,mesohabitat,microhabitat1,microhabitat 2,microhabitat 3 ,behavior,observer,notes,pulseinterval
2018,100,1,150.549,6,13-May,13:00,PM,35.11816,-119.62621,below,open,burrow,,,standing,steph,,
2018,130,30,151.969,6,13-May,11:47,AM,35.11966,-119.62083,above,open,mound,,,standing,steph,May 13 lizard 47 and 130 missed,
2018,176,12,151.029,6,13-May,13:46,PM,35.1155,-119.63506,above,open,burrow,,,basking,rich,,
2018,200,10,150.83,6,13-May,14:39,PM,35.11815,-119.63175,above,open,,,,basking,rich,,
2018,12B,16,151.11,6,13-May,14:40,PM,35.11846,-119.62911,below,open,,,,standing,steph,,
2018,1,21,151.43,7,14-May,11:47,AM,35.12591,-119.63711,above,open,mound,,,basking,mario,,1.541
2018,2,26,151.809,7,14-May,11:51,AM,35.12519,-119.63654,above,open,burrow,,,basking,mario,,1.478
2018,4,14,151.089,7,14-May,13:14,PM,35.12089,-119.62561,above,open,burrow,,,cooling,rich,,1.749
2018,7,23,151.59,7,14-May,12:55,PM,35.11802,-119.62514,above,open,4M from shrub,,,basking,rich,,1.566
2018,9,2,150.57,7,14-May,13:06,PM,35.11702,-119.63362,above,shrub,,,,standing,mario,,1.514
2018,11,22,151.47,7,14-May,11:50,AM,35.12415,-119.63522,above,opem,washbank,,,basking,mario,,1.435
2018,12,15,151.11,7,14-May,12:41,PM,35.11835,-119.63065,above,shrub,,,,standing,mario,,1.712
2018,13,24,151.61,7,14-May,11:27,AM,35.11535,-119.62362,above,open,2M from Shrub,,,basking,rich,,1.746
2018,19,13,151.049,7,14-May,12:09,PM,35.11996,-119.62919,above,open,burrow,mound,,basking,mario,,1.828
2018,20,11,151,7,14-May,12:30,PM,35.11991,-119.62893,above,open,burrow,,,basking,mario,,1.803
2018,22,27,151.83,7,14-May,13:30,PM,35.11761,-119.633,below,open,mound,,,standing,mario,,1.757
2018,30,7,150.77,7,14-May,13:18,PM,35.11803,-119.63364,below,open,burrow,mound,,standing,mario,,1.521
2018,35,18,151.23,7,14-May,13:00,PM,35.11826,-119.63193,above,open,mound,,,standing ,mario,,1.714
2018,39,28,151.849,7,14-May,12:09,PM,35.11648,-119.62589,above,open,burrow,,,basking,rich,,1.618
